pnr,gender,pregnant,age,date,time,preference
9143,M,0,22,2020-01-25,13:05,L
1141,M,0,68,2020-01-25,13:05,U
3517,F,1,29,2020-02-20,13:05,U
8882,M,0,23,2020-01-08,13:05,SU
6019,M,0,43,2020-01-18,13:05,L
6814,F,1,35,2020-02-23,13:05,L
5547,F,1,29,2020-02-07,13:05,SU
1138,M,0,31,2020-02-02,13:05,SU
6784,F,0,60,2020-02-17,13:05,SU
2228,F,0,48,2020-01-07,13:05,SU
9174,F,0,56,2020-02-15,13:05,SL
4064,M,0,68,2020-01-27,13:05,U
3209,F,0,30,2020-02-10,13:05,SU
3423,F,1,32,2020-01-18,13:05,SL
1441,M,0,65,2020-02-16,13:05,L
2396,M,0,65,2020-02-03,13:05,SU
5921,F,0,26,2020-01-10,13:05,U
5457,F,0,78,2020-01-27,13:05,U
5359,M,0,79,2020-02-06,13:05,L
2609,F,1,39,2020-02-28,13:05,SL
3314,M,0,20,2020-01-07,13:05,U
5331,M,0,23,2020-02-23,13:05,L
9183,F,0,26,2020-01-25,13:05,M
2548,M,0,30,2020-01-27,13:05,U
5525,M,0,15,2020-02-05,13:05,SU
6629,F,1,33,2020-02-01,13:05,L
2901,F,0,65,2020-01-20,13:05,U
2450,M,0,20,2020-02-13,13:05,M
4297,M,0,56,2020-01-28,13:05,SU
2376,M,0,72,2020-01-06,13:05,L
9298,F,0,57,2020-02-13,13:05,M
5607,M,0,57,2020-02-19,13:05,SL
4962,M,0,17,2020-01-23,13:05,SL
7779,M,0,36,2020-02-06,13:05,M
7166,F,1,34,2020-02-22,13:05,U
1584,F,1,33,2020-02-27,13:05,U
7447,F,1,40,2020-01-08,13:05,M
1512,F,0,67,2020-01-19,13:05,M
6228,M,0,22,2020-02-05,13:05,SU
3526,F,0,65,2020-02-17,13:05,SU
8280,F,0,76,2020-01-25,13:05,U
1333,F,1,50,2020-02-17,13:05,SL
5659,F,1,24,2020-02-03,13:05,L
4290,F,1,45,2020-01-10,13:05,M
7576,M,0,67,2020-02-20,13:05,SU
9621,F,1,26,2020-01-13,13:05,L
9896,M,0,18,2020-02-07,13:05,SL
